"cd_procedimento";"ano_realizacao";"n_procedimento";"custo_procedimento"
"20103344";"2023";160860.00;3145503.56
"20103344";"2024";69364.00;1378096.67
"20103360";"2023";14381.00;797118.28
"20103360";"2024";10049.00;853754.48
"20103379";"2023";187.00;5198.20
"20103379";"2024";77.00;10385.15
"20103387";"2023";126.00;6374.62
"20103387";"2024";21.00;200.60
"20103395";"2023";770.00;84330.18
"20103395";"2024";769.00;158160.97
"20103409";"2023";67079.00;1900126.33
"20103409";"2024";55944.00;1522869.11
"20103417";"2023";10.00;133.08
"20103417";"2024";1.00;7.20
"20103425";"2023";9321.00;927325.92
"20103425";"2024";5458.00;578637.13
"20103433";"2023";1285.00;44421.08
"20103433";"2024";959.00;34974.75
"20103441";"2023";122458.00;3165177.74
"20103441";"2024";133754.00;4101371.94
"20103450";"2023";8790.00;337862.56
"20103450";"2024";4253.00;106891.33
"20103468";"2023";4597.00;213921.99
"20103468";"2024";2195.00;105622.66
"20103476";"2023";170293.00;6194344.20
"20103476";"2024";121955.00;4280322.19
"20103484";"2023";1085296.00;15653814.59
"20103484";"2024";775732.20;12750562.87
"20103492";"2023";1372861.00;26173325.28
"20103492";"2024";1095077.00;21381247.89
"20103506";"2023";324219.00;4944799.93
"20103506";"2024";231239.00;3359434.39
"20103514";"2023";720156.00;15094474.17
"20103514";"2024";532200.00;10848107.11
"20103522";"2023";784825.00;23380698.42
"20103522";"2024";696767.00;22241900.64
"20103530";"2023";6738.00;107177.59
"20103530";"2024";2550.00;48189.72
"20103565";"2023";5955.00;134386.76
"20103565";"2024";7242.00;156187.42
"20103611";"2023";116.00;2281.94
"20103620";"2023";244.00;5281.13
"20103620";"2024";159.00;3140.02
"20103638";"2023";21577.00;810045.78
"20103638";"2024";12445.00;440955.53
"20103646";"2023";199401.00;28096187.72
"20103646";"2024";162055.00;22446570.76
"20103654";"2023";13657.00;332356.05
"20103654";"2024";6753.00;188115.24
"20103662";"2023";239260.00;3729923.06
"20103662";"2024";149103.00;2359191.54
